Epoch  110  trn-loss: 343.2829  ndcg100: 0.0092  recall: 0.0084  recall: 0.0152
Epoch  111  trn-loss: 1218.5696  ndcg100: 0.0094  recall: 0.0088  recall: 0.0156
Epoch  112  trn-loss: 492.3762  ndcg100: 0.0093  recall: 0.0086  recall: 0.0156
Epoch  113  trn-loss: 1128.6584  ndcg100: 0.0093  recall: 0.0086  recall: 0.0154
Epoch  114  trn-loss: 581.4680  ndcg100: 0.0093  recall: 0.0085  recall: 0.0152
Epoch  115  trn-loss: 808.4269  ndcg100: 0.0093  recall: 0.0084  recall: 0.0155
Epoch  116  trn-loss: 826.6323  ndcg100: 0.0094  recall: 0.0085  recall: 0.0155
Epoch  117  trn-loss: 1198.4899  ndcg100: 0.0093  recall: 0.0083  recall: 0.0153
Epoch  118  trn-loss: 1119.0155  ndcg100: 0.0094  recall: 0.0087  recall: 0.0155
Epoch  119  trn-loss: 546.1804  ndcg100: 0.0095  recall: 0.0087  recall: 0.0156
test:
Test NDCG@100=0.00948 (0.00011)
Test Recall@20=0.00875 (0.00017)
Test Recall@50=0.01561 (0.00025)
